,secapp,count,written,read,affectedfiles,affectedusers,readcalls,writecalls,type
0,archive,4,0.0,70565645481.0,2,1,33649,0,system
1,converter,500,0.0,0.0,241,1,0,0,system
2,eos/balancing,154387709,2.0236674136680576e+16,2.023973887768366e+16,38609850,1,9858563758,9702724379,system
3,eos/draining,50238334,5740267327308409.0,5745026878137050.0,22725214,1,2806510428,2753848285,system
4,eos/gridftp,92130333,3.349866733588535e+16,4.575154491052201e+16,46280644,862,61303839641,209758455260,user
5,eos/replication,129581,60870997762865.0,72828922686911.0,27132,1,34923815,29038288,system
6,eoscp,12618810,376385657137057.0,270306709609998.0,3825686,298,147416585,183911379,user
7,filecopy,174,0.0,0.0,89,5,0,0,user
8,fuse,200572627,495114711056674.0,2882489607808195.0,19796087,826,29316752043,5656344881,user
9,none,1894603867,8.524232478782134e+16,2.2904147128998906e+17,119920321,1481,2925691916152,40926004945,user
10,point5,5432691,7463107607565667.0,0.0,2787447,1,0,3561355051,user
11,restore,13122,15646868561.0,0.0,6304,75,0,9819,user
12,tpc,9501888,4321243949943220.0,7249185508391268.0,6682565,76,4488746736,4123826899,user
