,secapp,count,written,read,affectedfiles,affectedusers,readcalls,writecalls
0,eos/gridftp,50446895,1.8228482481231348e+16,2.691245125187461e+16,24414717,862,25687438184,114606558968
1,"fuse""",179189324,325246688539967.0,1882370140020858.0,14389663,826,19839711212,4226091116
2,eos/replication,7375,8739030067542.0,13999517327516.0,3736,1,6684966,4169130
3,,1181175412,4.3039311445857064e+16,1.7030291648255914e+17,78559893,1481,2251860821235,20734673613
4,"eos/balancing""",152529918,1.999950582713601e+16,2.0002566451780948e+16,37740831,1,9743009356,9589029643
5,"eos/gridftp""",41683438,1.5270184854654004e+16,1.88390936586474e+16,21865927,756,35616401457,95151896292
6,"filecopy""",170,0.0,0.0,87,5,0,0
7,fuse,21383303,169868022516707.0,1000119467787337.0,5406424,622,9477040831,1430253765
8,"converter""",500,0.0,0.0,241,1,0,0
9,filecopy,4,0.0,0.0,2,2,0,0
10,"archive""",4,0.0,70565645481.0,2,1,33649,0
11,eos/draining,17198019,1933700440458881.0,1934229127986783.0,8282307,1,944993239,927545758
12,"eos/replication""",122206,52131967695323.0,58829405359395.0,23396,1,28238849,24869158
13,"""",713428455,4.220301334196428e+16,5.8738554807429944e+16,41360428,1480,673831094917,20191331332
14,"eos/draining""",33040315,3806566886849528.0,3810797750150267.0,14442907,1,1861517189,1826302527
15,"point5""",5432691,7463107607565667.0,0.0,2787447,1,0,3561355051
16,"eoscp""",6888702,196909135882308.0,197096052005615.0,1761374,288,104616255,96321387
17,tpc,1698570,915876706961878.0,2202332244121400.0,1274211,21,1260429399,873811439
18,eoscp,5730108,179476521254749.0,73210657604383.0,2064312,298,42800330,87589992
19,restore,3176,289210920.0,0.0,1598,15,0,158
20,"tpc""",7803318,3405367242981342.0,5046853264269868.0,5408354,76,3228317337,3250015460
21,eos/balancing,1857791,237168309544570.0,237172425902713.0,869019,1,115554402,113694736
22,"restore""",9946,15357657641.0,0.0,4706,75,0,9661
