,depth,count,totalsize
0,7,2922698,349291790001695
1,15,16126237,599112397050068
2,11,12016019,6051821501601692
3,29,16,3508
4,8,19659704,18180585355591505
5,22,6566,7978342091
6,28,90,677058
7,16,10026026,2469376168888239
8,5,371885,60243545437809
9,18,896590,30074050677654
10,27,576,5758819
11,17,4657105,155869281635991
12,26,1038,15510359
13,6,638729,292640177788564
14,19,247370,40521032720654
15,23,6399,14324963711
16,25,2889,47752626
17,9,3120620,2828634657119432
18,24,3608,54568840
19,1,53758673,13691781807213075
20,20,95461,8715949523648
21,10,37627600,25679343034712281
22,4,518,473368931689
23,12,15821602,1551463990961417
24,13,19141750,6199571580196744
25,14,38116301,24781138092087288
26,21,25131,1080518923908
