,writes,writtento,averagewrite
0,2,313949,50310197.53415682
1,4,81587,5253409.040055401
2,6,18917,3301271.834311289
3,8,6243,6092566.00190213
4,10,3697,2623676.9939410333
5,12,2789,2529443.224512967
6,14,1947,2534527.6226428943
7,1,1225,352738762.24081635
8,16,857,9474471.759043174
9,18,681,4074541.432860172
10,3,409,37083575.161369205
11,20,353,7828161.790084986
12,32,300,3917123.1847916665
13,22,281,4931858.459074733
14,28,207,3886567.7101449277
15,26,181,4228690.527411815
16,30,146,19516666.62054795
17,24,126,17062131.172619045
18,38,62,14750647.516977929
19,34,42,8943247.25070028
20,40,38,3608665.784210527
21,7,34,206.41176470588235
22,56,32,5014572.747767857
23,42,31,3079128.250384024
24,72,29,7821730.612068965
25,58,29,1188427.9227110588
26,50,25,4717920.8464
27,80,24,1916275.173958334
28,36,24,19235587.405092593
29,48,19,1580161.917763158
30,46,14,7948451.0869565215
31,54,12,6206279.046296296
32,5,12,2244989417.2833333
33,9,11,3704.1616161616157
34,82,10,1538.7243902439022
35,17,8,13979403.595588235
36,60,8,666.2249999999999
37,390,6,860.6102564102563
38,13,6,147918.15384615384
39,64,6,12147.182291666666
40,392,5,485.1173469387754
41,428,5,81664.56261682244
42,76,5,10581.815789473683
43,222,4,1225.0
44,196,4,1315.0841836734694
45,100,4,1074.4099999999999
46,44,4,9544625.625
47,15,4,1927692.4
48,19,3,14597365.912280701
49,414,3,1126.6666666666667
50,744,3,1806.6666666666667
51,27,3,36986219.25925926
52,52,3,393.5128205128205
53,88,3,706.6136363636364
54,96,3,4349.541666666667
55,66,3,349009.42424242425
56,176,3,1263.435606060606
57,102,3,88.39869281045752
58,78,3,6139646.452991453
59,180,3,1086.6666666666667
60,112,2,2012.7857142857144
61,184,2,945.0
62,126,2,1020.2619047619048
63,406,2,2437.9655172413795
64,136,2,877.3382352941177
65,144,2,73.24305555555556
66,402,2,930.0
67,150,2,4022.5
68,226,2,150105.14159292035
69,138,2,1697.5
70,142,2,74998.48591549296
71,254,2,24035.952755905513
72,108,2,1711.787037037037
73,35,2,60140332.02857143
74,118,2,35401.254237288136
75,408,2,85.82843137254902
76,122,2,9280315.99180328
77,90,2,5822.094444444445
78,366,2,945.0
79,29,1,110224794.0
80,1202,1,3841.9866888519136
81,415,1,426747.46746987954
82,347,1,405585.2219020173
83,588,1,90.71428571428571
84,4517,1,846.9712198361744
85,10473,1,68018.50845030077
86,188,1,1690.0
87,274,1,139.08759124087592
88,202,1,88.43564356435644
89,262,1,86808.70229007634
90,1210,1,82.98512396694215
91,1964,1,160.3253564154786
92,57,1,523.2456140350877
93,84,1,3290.0
94,31,1,415.0
95,496,1,164.13306451612902
96,187,1,76.05882352941177
97,116,1,1012.9655172413793
98,5684,1,9073736.376847291
99,25,1,725.4
100,586,1,828.5221843003413
101,912,1,83.2609649122807
102,68,1,56396.205882352944
103,1012,1,3412.179841897233
104,424,1,21.882075471698112
105,1124,1,164.22241992882562
106,158,1,1520.0
107,459,1,11697.511982570806
108,1060,1,22.79622641509434
109,1196,1,3550.9732441471574
110,41,1,38560.04878048781
111,462,1,21.67965367965368
112,1206,1,3711.026533996683
113,678,1,77.04129793510324
114,434,1,75.53456221198157
115,404,1,357804.0693069307
116,104,1,2046.2307692307693
117,214,1,1890.0
118,870,1,3266.7459770114942
119,784,1,90.57142857142857
120,128,1,75.703125
121,106,1,2936.9245283018868
122,460,1,40.6695652173913
123,168,1,71.42857142857143
124,5306,1,8820416.378816435
125,682,1,3195.5689149560117
126,220,1,418.2181818181818
127,192,1,142684.51041666666
128,454,1,20.524229074889867
129,1107,1,83.67479674796748
130,156,1,78.94871794871794
131,636,1,46.770440251572325
132,776,1,22.72680412371134
133,74,1,6303476.0
134,668,1,56075.14670658683
135,62,1,14327.193548387097
136,182,1,126.17582417582418
137,186,1,107.78494623655914
138,16364,1,70.30719872891713
139,906,1,166.42163355408388
140,792,1,86.71212121212122
141,11,1,415.0
142,400,1,1877.125
143,162,1,251945.28395061727
144,1198,1,54.0
145,164,1,190.0
146,92,1,4.239130434782608
147,930,1,158.60752688172042
148,916,1,64.82096069868996
149,722,1,1249834.6814404433
150,314,1,1209737.8280254777
151,2122,1,34.18190386427898
152,194,1,42687.41237113402
153,81358,1,372.00073748125567
154,436,1,48.1651376146789
155,3620,1,68167.89640883978
156,351,1,11847.649572649572
157,70,1,6110.971428571429
158,640,1,74.840625
159,86,1,227.11627906976744
160,802,1,86.3291770573566
161,1026,1,81.36062378167641
162,1616,1,17475.095297029704
163,908,1,877.3039647577092
164,6601,1,69956.46371761855
165,2048,1,160.21875
166,357,1,948026.2352941176
167,152,1,1890.0
168,394,1,91.56345177664974
169,148,1,330.0
170,786,1,91.06870229007633
171,456,1,20.517543859649123
